time_period,total_load,cell_barring,cell_radius
812,52.87969696238328,1,100
813,53.01073653179155,1,100
814,53.09958916720811,1,100
815,53.23072535603547,1,100
816,53.11282076197204,1,100
817,53.07345542897242,1,100
818,53.257976544609626,1,100
819,53.20220254879924,1,100
820,53.17251332823968,1,100
821,53.05500984900408,1,100
822,52.96606584318132,1,100
823,52.83820320720772,1,100
824,52.82483482882108,1,100
825,52.79296112914981,1,100
826,52.67829586931333,1,100
827,52.74912377532264,1,100
828,52.76009486230693,1,100
829,52.73476721861569,1,100
830,52.80561131084264,1,100
831,52.76458891278737,1,100
832,52.86399235763902,1,100
833,52.86210585232041,1,100
834,52.89527132900773,1,100
835,52.91591953345889,1,100
836,53.001628075681026,1,100
837,53.06381395636775,1,100
838,53.03825748314661,1,100
839,53.08867932433576,1,100
840,53.04638056694587,1,100
841,52.88926811178737,1,100
842,52.919762612806025,1,100
843,52.9434321457169,1,100
844,52.88123431354234,1,100
845,52.73886539297327,1,100
846,52.76692515740772,1,100
847,52.7777194717317,1,100
848,52.76706241462616,1,100
849,52.80541403445169,1,100
850,52.76574474246198,1,100
851,52.817847787168404,1,100
852,52.75858326030401,1,100
853,52.81471441630944,1,100
854,52.76704884757759,1,100
855,52.622776582098844,1,100
856,52.56210846847598,1,100
857,52.550753348099576,1,100
858,52.54333808120843,1,100
859,52.586035324686506,1,100
860,52.67149117328293,1,100
861,52.70498461110738,1,100
862,52.65900346616559,1,100
863,52.7107262939901,1,100
864,52.75278616743087,1,100
865,52.7794341873326,1,100
866,52.725934490543416,1,100
867,52.76592447372982,1,100
868,52.87039705460349,1,100
869,52.86735552301121,1,100
870,52.84596123116335,1,100
871,52.77840696914208,1,100
872,52.826427642682546,1,100
873,52.89441639071906,1,100
874,52.91410394758901,1,100
875,52.849061450473705,1,100
876,52.8145838893874,1,100
877,52.901148040195736,1,100
878,52.87076221859839,1,100
879,52.856103448661905,1,100
880,52.856316709432164,1,100
881,52.86383515548978,1,100
882,52.84916194512455,1,100
883,52.79968792281289,1,100
884,52.798299913256685,1,100
885,52.86732899702782,1,100
886,52.82492122150768,1,100
887,52.8757364333309,1,100
888,52.987974150335354,1,100
889,52.80256898964537,1,100
